id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,07:00-07:15,,,,40,126,0,15,245,21,0,96,25,,6,6,9,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,07:15-07:30,,,,41,134,0,14,276,33,0,122,28,,7,5,17,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,07:30-07:45,,,,59,163,0,20,344,38,0,141,28,,16,17,6,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,07:45-08:00,,,,62,216,0,17,372,24,0,166,44,,18,12,13,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,08:00-08:15,,,,61,227,0,17,376,32,0,190,42,,17,13,14,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,08:15-08:30,,,,64,241,0,23,345,36,0,159,34,,20,5,18,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,08:30-08:45,,,,80,264,0,24,336,30,0,140,38,,10,16,24,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,08:45-09:00,,,,94,370,0,15,335,35,0,127,34,,11,20,24,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,16:00-16:15,,,,57,198,0,18,363,27,0,145,42,,37,53,25,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,16:15-16:30,,,,50,172,0,38,332,29,0,154,55,,19,37,17,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,16:30-16:45,,,,60,201,0,33,448,40,0,150,42,,35,43,26,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,16:45-17:00,,,,67,188,0,25,398,45,0,155,42,,21,43,44,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,17:00-17:15,,,,59,209,0,34,495,48,0,175,42,,31,43,22,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,17:15-17:30,,,,67,193,0,28,423,33,0,191,47,,22,45,28,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,17:30-17:45,,,,65,178,0,39,391,26,0,143,43,,12,27,12,,,,
morpc/10,FOURTH ST / BROAD ST / COLUMBUS,10,9/14/2011,17:45-18:00,,,,50,147,0,19,375,32,0,122,42,,27,12,12,,,,
id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,07:00-07:15,32,70,11,46,6,22,10,65,3,1,4,11,0,0,0,0,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,07:15-07:30,11,91,23,96,1,30,8,99,4,0,6,15,0,0,0,0,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,07:30-07:45,12,85,20,84,2,29,10,102,2,3,2,11,0,0,0,0,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,07:45-08:00,12,83,19,108,2,46,8,116,3,0,2,21,0,0,0,0,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,08:00-08:15,20,105,23,57,4,52,11,115,3,0,6,12,0,0,0,0,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,08:15-08:30,13,91,25,63,1,25,11,102,1,0,1,15,0,0,0,0,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,08:30-08:45,11,99,31,57,0,33,11,146,3,1,5,20,0,0,0,0,,,,
morpc/1079,WESTERVILLE RD / DEMPSEY RD / -,1079,7/24/2008,08:45-09:00,12,97,21,71,2,35,16,118,0,1,3,21,0,0,0,0,,,,
