id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,07:00-07:15,0,0,0,1,27,0,11,319,20,0,6,7,0,5,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,07:15-07:30,0,0,0,4,35,0,12,420,46,0,12,5,1,7,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,07:30-07:45,0,0,0,5,39,0,15,518,37,0,10,7,0,5,0,1,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,07:45-08:00,0,0,0,7,62,0,18,504,33,0,15,7,0,7,0,1,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,08:00-08:15,0,0,0,6,74,0,8,396,33,0,22,13,1,9,0,1,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,08:15-08:30,0,0,0,7,45,0,15,408,24,0,21,9,0,7,0,2,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,08:30-08:45,0,0,0,8,44,0,19,392,32,0,22,5,3,15,0,2,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,08:45-09:00,0,0,0,6,36,0,18,403,28,0,15,7,1,9,0,4,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,09:00-09:15,0,0,0,5,31,0,7,258,12,0,18,4,0,3,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,09:15-09:30,0,0,0,5,32,0,14,245,16,0,9,5,0,3,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,09:30-09:45,0,0,0,7,31,0,9,237,15,0,25,10,0,2,0,1,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,09:45-10:00,0,0,0,1,36,0,11,221,8,0,19,8,0,2,0,1,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,12:00-12:15,0,0,0,3,39,0,7,211,5,0,28,11,0,6,0,1,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,12:15-12:30,0,0,0,5,34,0,13,199,7,0,20,16,1,5,0,6,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,12:30-12:45,0,0,0,11,27,0,7,181,10,0,25,10,2,4,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,12:45-13:00,0,0,0,4,21,0,12,214,12,0,23,8,1,7,0,2,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,13:00-13:15,0,0,0,3,34,0,8,159,13,0,27,14,0,6,0,1,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,13:15-13:30,0,0,0,1,27,0,8,170,7,0,21,9,0,6,0,2,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,13:30-13:45,0,0,0,1,32,0,10,185,3,0,26,21,1,1,0,4,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,13:45-14:00,0,0,0,2,47,0,15,184,15,0,21,11,0,2,0,4,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,15:00-15:15,0,0,0,5,33,0,14,217,7,0,20,17,4,4,0,3,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,15:15-15:30,0,0,0,2,36,0,11,274,3,0,22,16,0,6,0,2,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,15:30-15:45,0,0,0,3,34,0,7,281,5,0,36,19,2,2,0,4,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,15:45-16:00,0,0,0,1,22,0,10,260,3,0,50,24,0,3,0,2,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,16:00-16:15,0,0,0,7,42,0,14,320,7,0,36,38,1,5,0,2,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,16:15-16:30,0,0,0,4,28,0,11,259,9,0,26,31,0,8,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,16:30-16:45,0,0,0,5,43,0,14,332,6,0,36,33,1,5,0,4,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,16:45-17:00,0,0,0,4,32,0,12,359,4,0,39,42,2,6,0,5,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,17:00-17:15,0,0,0,8,38,0,13,393,3,0,72,45,0,19,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,17:15-17:30,0,0,0,3,30,0,15,424,7,0,45,65,0,6,0,0,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,17:30-17:45,0,0,0,2,26,0,9,322,6,0,29,42,0,4,0,3,,,,
buffalo/100,Broadway St / Elm St / Buffalo,100,5/16/2013,17:45-18:00,0,0,0,3,16,0,10,249,2,0,18,39,0,5,0,1,,,,
id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,07:00-07:15,8,14,1,1,81,2,13,20,17,3,100,1,1,1,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,07:15-07:30,7,12,3,1,116,3,16,24,20,7,141,5,0,0,1,1,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,07:30-07:45,3,21,6,2,107,10,21,24,21,4,196,6,0,0,0,1,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,07:45-08:00,15,16,5,0,190,5,20,25,22,4,218,4,1,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,08:00-08:15,12,32,9,1,167,4,25,25,21,7,233,4,1,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,08:15-08:30,9,12,1,1,174,4,31,46,32,9,246,8,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,08:30-08:45,10,29,5,1,154,3,20,27,22,17,254,12,0,0,0,1,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,08:45-09:00,17,9,5,1,158,7,23,39,29,13,228,6,0,0,0,1,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,09:00-09:15,4,18,4,0,127,6,31,34,22,9,215,2,1,1,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,09:15-09:30,6,17,1,2,160,11,17,35,25,7,239,4,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,09:30-09:45,4,20,2,2,148,4,21,32,26,8,217,6,1,1,0,2,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,09:45-10:00,22,33,0,0,122,5,10,17,12,8,209,7,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,12:00-12:15,9,28,5,4,234,13,24,74,20,19,208,11,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,12:15-12:30,11,30,7,3,204,19,24,33,23,11,217,10,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,12:30-12:45,13,24,9,1,217,14,19,31,8,13,216,7,2,0,2,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,12:45-13:00,18,21,8,6,244,11,5,14,5,7,232,13,0,0,0,2,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,13:00-13:15,10,28,12,8,219,16,11,62,37,4,239,14,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,13:15-13:30,6,24,6,2,205,11,14,58,28,7,214,11,0,0,0,1,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,13:30-13:45,16,29,7,2,185,14,11,41,14,7,216,12,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,13:45-14:00,7,20,2,2,175,11,7,37,28,8,225,12,1,0,1,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,15:00-15:15,14,23,4,2,218,7,20,44,32,10,233,16,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,15:15-15:30,4,33,7,1,219,13,12,42,22,11,263,18,0,1,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,15:30-15:45,14,33,5,2,262,25,28,67,46,10,291,11,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,15:45-16:00,15,39,6,1,252,19,41,81,53,6,299,2,3,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,16:00-16:15,14,48,7,1,243,33,25,59,36,23,273,24,0,0,0,2,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,16:15-16:30,9,52,3,1,219,6,28,70,41,30,293,15,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,16:30-16:45,18,35,9,5,252,20,29,80,41,30,294,11,2,1,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,16:45-17:00,9,31,7,6,220,22,21,72,33,13,277,13,0,3,0,2,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,17:00-17:15,11,53,9,4,285,19,45,71,46,32,271,22,0,3,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,17:15-17:30,17,41,3,3,275,21,44,72,57,27,319,37,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,17:30-17:45,6,38,5,2,276,20,33,87,57,25,307,32,0,0,0,0,,,,
buffalo/1000,Parker Blvd / Sheridan Dr / Tonawanda,1000,8/14/2006,17:45-18:00,13,42,11,2,265,27,20,49,31,32,304,18,2,0,0,4,,,,
id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,07:00-07:15,2,20,1,4,19,1,3,31,1,1,18,3,0,0,0,0,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,07:15-07:30,3,30,3,4,31,6,2,46,3,1,13,7,0,4,2,3,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,07:30-07:45,3,46,5,10,49,6,2,69,2,3,11,5,0,4,1,4,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,07:45-08:00,4,60,6,8,51,7,5,74,8,1,24,2,0,3,1,2,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,08:00-08:15,8,47,3,11,56,9,2,64,2,0,19,5,0,6,1,1,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,08:15-08:30,5,55,4,10,29,5,7,88,3,2,18,1,0,4,1,2,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,08:30-08:45,1,42,2,8,44,2,4,68,3,3,24,0,0,8,2,0,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,08:45-09:00,1,47,2,9,32,2,0,53,2,4,12,2,0,1,0,4,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,09:00-09:15,3,37,5,9,21,2,4,58,2,0,8,0,0,3,0,0,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,09:15-09:30,3,37,3,5,32,6,5,45,5,2,10,2,0,4,0,2,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,09:30-09:45,2,47,1,5,22,2,3,46,3,1,23,1,0,2,0,0,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,09:45-10:00,2,34,3,3,25,3,1,42,1,5,24,2,0,1,0,0,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,12:00-12:15,1,60,2,5,25,1,2,43,4,2,28,1,1,4,1,1,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,12:15-12:30,5,52,7,7,19,6,3,56,5,2,25,3,0,1,1,0,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,12:30-12:45,6,36,5,6,25,2,2,56,2,2,39,2,2,6,4,20,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,12:45-13:00,6,40,3,7,30,4,2,55,3,1,22,5,0,3,1,3,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,13:00-13:15,6,44,5,4,23,2,7,48,1,1,30,5,0,0,4,2,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,13:15-13:30,4,43,4,5,21,3,8,56,6,0,23,5,0,6,0,2,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,13:30-13:45,6,33,2,6,33,1,4,61,1,2,29,0,0,3,1,4,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,13:45-14:00,1,54,4,2,25,1,1,53,3,3,23,1,0,0,0,0,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,15:00-15:15,6,56,5,6,29,4,5,57,2,1,40,2,0,1,1,1,,,,
buffalo/101,Michigan Ave / Broadway St / Buffalo,101,5/18/2011,15:15-15:30,4,72,7,7,28,2,4,49,3,2,25,2,0,0,3,1,,,,
